distance_cm,weight_kg,vibration_g,vibration_x,vibration_y,vibration_z,material_flow_rate_tph,state_label,is_anomaly,fault_type,signal_dropout,bed_height_cm,true_distance_cm,true_weight_kg,gravity_accel_mps2,friction_angle_deg,effective_accel_mps2,ore_velocity_mps,hx711_electrical_noise_kg,hx711_drift_kg,mpu6050_bias_g,mpu6050_jitter_g
47.8,367.5,3.33,1.64,1.23,2.62,262.4,0,0,none,False,51.859,48.141,371.21,9.81,20.105,5.97617,2.69463,0.709,-4.3507,-0.04059,0.01882
45.8,374.5,3.2,1.35,1.34,2.62,245.9,0,0,none,False,54.508,45.492,367.657,9.81,24.078,5.52146,2.59009,0.9745,5.8599,-0.01559,-0.01443
65.1,222.0,3.18,1.59,1.4,2.37,249.9,0,0,none,False,34.549,65.451,222.437,9.81,23.519,5.58705,2.60543,1.0907,-1.7041,-0.06737,-0.0002
59.0,278.5,3.24,1.34,1.19,2.71,242.6,0,0,none,False,40.537,59.463,286.478,9.81,23.192,5.6252,2.61431,-1.0902,-6.8712,-0.06635,0.04692
25.6,626.5,1.4,0.68,0.65,1.01,99.9,1,0,none,False,74.422,25.578,621.062,9.81,30.452,4.7278,1.06521,3.2834,2.2905,0.01675,-0.0107
58.0,276.0,3.19,1.09,1.14,2.77,237.8,0,0,none,False,41.886,58.114,285.606,9.81,25.024,5.40916,2.56362,-3.1745,-6.5445,0.00717,-0.01214
55.5,300.0,3.1,1.42,1.03,2.53,238.4,0,0,none,False,44.854,55.146,304.292,9.81,25.505,5.3514,2.54989,-0.0325,-4.4743,-0.02928,-0.05407
56.5,318.0,3.12,1.27,1.47,2.39,239.9,0,0,none,False,42.96,57.04,316.502,9.81,27.888,5.05818,2.47905,-2.7961,4.231,-0.0227,0.04348
4.9,21.5,3.77,1.11,1.43,3.28,199.9,0,1,inverted_physics,False,55.156,44.844,375.232,9.81,27.364,5.12368,2.49505,0.0893,1.2398,0.04408,0.04893
50.0,348.0,3.19,1.11,1.55,2.58,245.2,0,0,none,False,50.657,49.343,354.871,9.81,22.718,5.68012,2.62704,0.6999,-7.5255,-0.07255,-0.01276
56.9,292.0,3.17,1.33,1.0,2.72,237.2,0,0,none,False,42.711,57.289,290.032,9.81,23.856,5.54756,2.59621,0.8331,1.3143,-0.03512,-0.02997
53.1,337.5,3.18,1.02,1.08,2.84,262.5,0,0,none,False,47.041,52.959,344.675,9.81,23.483,5.59128,2.60642,0.0839,-7.1038,-0.05103,-0.01557
7.1,1043.0,0.26,0.12,0.1,0.2,2.5,2,0,none,False,93.429,6.571,1046.162,9.81,39.275,3.43456,0.03632,0.1655,-3.388,0.05254,0.04783
29.2,668.0,1.48,0.65,0.74,1.14,104.2,1,0,none,False,69.849,30.151,674.298,9.81,31.375,4.60469,1.05125,-2.8259,-3.6782,0.07709,0.02049
23.4,635.5,1.44,0.67,0.53,1.12,113.0,1,0,none,False,76.541,23.459,640.546,9.81,32.864,4.40082,1.02771,2.5883,-7.8069,0.0527,0.03348
60.0,254.0,3.24,1.22,1.35,2.67,243.3,0,0,none,False,40.577,59.423,256.841,9.81,24.372,5.4868,2.58195,1.018,-4.0454,-0.01817,0.0365
